* Texas Instruments Data Flash File
* File created Tue Mar 19 20:07:51 2024
*
* Device Number 4500
* Firmware Version 2.08
* Build Number 50
* Order Number 0
*
* bqz Device Number 4500
* bqz Firmware Version 2.08
* bqz Build Number 50
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Fet Temperature Model","Coeff b3","-2443","-"
"Calibration","Fet Temperature Model","Coeff b4","4696","-"
"Calibration","Fet Temperature Model","Rc0","11703","-"
"Calibration","Fet Temperature Model","Adc0","11703","-"
"Calibration","Fet Temperature Model","Rpad","0","-"
"Calibration","Fet Temperature Model","Rint","0","-"
"Calibration","Current Deadband","Deadband","3","mA"
"Calibration","Current Deadband","Coulomb Counter Deadband","9","116nV"
"Settings","Configuration","Charging Configuration","00","hex"
"Settings","Configuration","FET Options","21","hex"
"Settings","Configuration","Sbs Gauging Configuration","05","hex"
"Settings","Configuration","Sbs Configuration","20","hex"
"Settings","Configuration","Auth Config","00","hex"
"Settings","Configuration","Power Config","0006","hex"
"Settings","Configuration","IO Config","00","hex"
"Settings","Configuration","LED Configuration","00d0","hex"
"Settings","Configuration","Temperature Enable","05","hex"
"Settings","Configuration","Temperature Mode","01","hex"
"Settings","Configuration","DA Configuration","8097","hex"
"Settings","Configuration","SOC Flag Config A","0c23","hex"
"Settings","Configuration","SOC Flag Config B","23","hex"
"Settings","Configuration","Balancing Configuration","05","hex"
"Settings","Configuration","IT Gauging Configuration","d1df","hex"
"Settings","Configuration","IT Gauging Ext","009a","hex"
"Settings","Fuse","PF Fuse A","00","hex"
"Settings","Fuse","PF Fuse B","00","hex"
"Settings","Fuse","PF Fuse C","00","hex"
"Settings","Fuse","PF Fuse D","00","hex"
"Settings","Fuse","Min Blow Fuse Voltage","3500","mV"
"Settings","Fuse","Fuse Blow Timeout","30","s"
"Settings","BTP","Init Discharge Set","150","mAh"
"Settings","BTP","Init Charge Set","175","mAh"
"Settings","SMBus","Address","16","-"
"Settings","SMBus","Address Check","ea","-"
"Settings","Protection","Protection Configuration","02","hex"
"Settings","Protection","Enabled Protections A","ff","hex"
"Settings","Protection","Enabled Protections B","7f","hex"
"Settings","Protection","Enabled Protections C","41","hex"
"Settings","Protection","Enabled Protections D","0d","hex"
"Settings","Permanent Failure","Enabled PF A","00","hex"
"Settings","Permanent Failure","Enabled PF B","00","hex"
"Settings","Permanent Failure","Enabled PF C","00","hex"
"Settings","Permanent Failure","Enabled PF D","00","hex"
"Settings","AFE","AFE Protection Control","70","hex"
"Settings","AFE","ZVCHG Exit Threshold","1800","mV"
"Settings","Manufacturing","Mfg Status init","0018","hex"
"Advanced Charge Algorithm","Temperature Ranges","T1 Temp","0.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T2 Temp","12.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T5 Temp","25.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T6 Temp","40.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T3 Temp","45.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","T4 Temp","60.0","°C"
"Advanced Charge Algorithm","Temperature Ranges","Hysteresis Temp","1.0","°C"
"Advanced Charge Algorithm","Low Temp Charging","Voltage","4000","mV"
"Advanced Charge Algorithm","Low Temp Charging","Current Low","132","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current Med","352","mA"
"Advanced Charge Algorithm","Low Temp Charging","Current High","264","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current Low","1980","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current Med","4004","mA"
"Advanced Charge Algorithm","Standard Temp Low Charging","Current High","2992","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Voltage","4200","mV"
"Advanced Charge Algorithm","Standard Temp High Charging","Current Low","1980","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Current Med","4004","mA"
"Advanced Charge Algorithm","Standard Temp High Charging","Current High","2992","mA"
"Advanced Charge Algorithm","High Temp Charging","Voltage","4000","mV"
"Advanced Charge Algorithm","High Temp Charging","Current Low","1012","mA"
"Advanced Charge Algorithm","High Temp Charging","Current Med","1980","mA"
"Advanced Charge Algorithm","High Temp Charging","Current High","1496","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Voltage","4100","mV"
"Advanced Charge Algorithm","Rec Temp Charging","Current Low","2508","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current Med","4488","mA"
"Advanced Charge Algorithm","Rec Temp Charging","Current High","3520","mA"
"Advanced Charge Algorithm","Pre-Charging","Current","2100","mA"
"Advanced Charge Algorithm","Maintenance Charging","Current","1050","mA"
"Advanced Charge Algorithm","Voltage Range","Precharge Start Voltage","1800","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Low","2500","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Med","3600","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage High","4000","mV"
"Advanced Charge Algorithm","Voltage Range","Charging Voltage Hysteresis","0","mV"
"Advanced Charge Algorithm","SoC Range","Charging SoC Med","50","%"
"Advanced Charge Algorithm","SoC Range","Charging SoC High","75","%"
"Advanced Charge Algorithm","SoC Range","Charging SoC Hysteresis","1","%"
"Advanced Charge Algorithm","Degrade Mode 1","Cycle Threshold","50","-"
"Advanced Charge Algorithm","Degrade Mode 1","SOH Threshold","95","%"
"Advanced Charge Algorithm","Degrade Mode 1","Voltage Degradation","10","mV"
"Advanced Charge Algorithm","Degrade Mode 1","Current Degradation","10","%"
"Advanced Charge Algorithm","Degrade Mode 2","Cycle Threshold","150","-"
"Advanced Charge Algorithm","Degrade Mode 2","SOH Threshold","80","%"
"Advanced Charge Algorithm","Degrade Mode 2","Voltage Degradation","40","mV"
"Advanced Charge Algorithm","Degrade Mode 2","Current Degradation","20","%"
"Advanced Charge Algorithm","Degrade Mode 3","Cycle Threshold","350","-"
"Advanced Charge Algorithm","Degrade Mode 3","SOH Threshold","60","%"
"Advanced Charge Algorithm","Degrade Mode 3","Voltage Degradation","70","mV"
"Advanced Charge Algorithm","Degrade Mode 3","Current Degradation","40","%"
"Advanced Charge Algorithm","CS Degrade","Temperature Threshold","50.0","°C"
"Advanced Charge Algorithm","CS Degrade","Voltage Threshold","4200","mV"
"Advanced Charge Algorithm","CS Degrade","Time Interval","300","s"
"Advanced Charge Algorithm","CS Degrade","Delta Voltage","25","mV"
"Advanced Charge Algorithm","CS Degrade","Min CV","3000","mV"
"Advanced Charge Algorithm","Termination Config","Charge Term Taper Current","100","mA"
"Advanced Charge Algorithm","Termination Config","Charge Term Voltage","75","mV"
"Advanced Charge Algorithm","Charging Rate of Change","Current Rate","1","steps"
"Advanced Charge Algorithm","Charging Rate of Change","Voltage Rate","1","steps"
"Advanced Charge Algorithm","Charge Loss Compensation","CCC Current Threshold","3520","mA"
"Advanced Charge Algorithm","Charge Loss Compensation","CCC Voltage Threshold","4200","mV"
"Advanced Charge Algorithm","IR Correction","Averaging Interval","12","s"
"Advanced Charge Algorithm","Cell Balancing Config","Bal Time/mAh Cell 1","367","s/mAh"
"Advanced Charge Algorithm","Cell Balancing Config","Bal Time/mAh Cell 2-4","514","s/mAh"
"Advanced Charge Algorithm","Cell Balancing Config","Min Start Balance Delta","4","mV"
"Advanced Charge Algorithm","Cell Balancing Config","Relax Balance Interval","18000","s"
"Advanced Charge Algorithm","Cell Balancing Config","Min Rsoc for Balancing","40","%"
"Advanced Charge Algorithm","Cell Balancing Config","Start Rsoc for Bal in Sleep","95","%"
"Advanced Charge Algorithm","Cell Balancing Config","End Rsoc for Bal in Sleep","60","%"
"Advanced Charge Algorithm","Cell Balancing Config","Start Time for Bal in Sleep","100","hrs"
"Power","Power","Valid Update Voltage","3000","mV"
"Power","Shutdown","Shutdown Voltage","2000","mV"
"Power","Shutdown","Shutdown Time","10","s"
"Power","Shutdown","PF Shutdown Voltage","2000","mV"
"Power","Shutdown","PF Shutdown Time","10","s"
"Power","Shutdown","PS Shutdown Voltage","2000","mV"
"Power","Shutdown","PS NoLoadResCap Threshold","0","mAh"
"Power","Shutdown","Charger Present Threshold","3000","mV"
"Power","Shutdown","Valid Wake up Comm Check Delay","100","s"
"Power","Sleep","Sleep Current","10","mA"
"Power","Sleep","Bus Timeout","5","s"
"Power","Sleep","Voltage Time","5","s"
"Power","Sleep","Current Time","20","s"
"Power","Sleep","Wake Comparator","00","hex"
"Power","Ship","FET Off Time","10","s"
"Power","Ship","Delay","20","s"
"Power","Ship","Auto Ship Time","1440","min"
"Power","Power Off","Timeout","30","min"
"Power","Manual FET Control","MFC Delay","60","0.25s"
"Power","IATA","IATA Config","03","-"
"Power","IATA","IATA Delay Time","10","s"
"Power","IATA","IATA RSOC Threshold","30","%"
"Power","IATA","IATA DeltaV Threshold","50","mV"
"Power","IATA","IATA Delta RSOC","3","%"
"Power","IATA","IATA Wake AbsRsoc","10","%"
"Power","IATA","IATA Min Temperature","10.0","°C"
"Power","IATA","IATA Max Temperature","40.0","°C"
"Power","IATA","IATA Min Voltage","3000","mV"
"Power","IATA","IATA Max Voltage","3600","mV"
"Power","IATA STORE","IATA RM mAh","0","mAh"
"Power","IATA STORE","IATA RM cWh","0","cWh"
"Power","IATA STORE","IATA FCC mAh","0","mAh"
"Power","IATA STORE","IATA FCC cWh","0","cWh"
"Power","IATA STORE","IATA Flag","00","-"
"Power","Unintended Wakeup","Delay","2","s"
"Power","Unintended Wakeup","Count","3","-"
"LED Support","LED Config","LED Flash Period","512","488us"
"LED Support","LED Config","LED Blink Period","1024","488us"
"LED Support","LED Config","LED Delay","100","488us"
"LED Support","LED Config","LED Hold Time","4","s"
"LED Support","LED Config","LED FC Time","60","mins"
"LED Support","LED Config","CHG Flash Alarm","10","%"
"LED Support","LED Config","CHG Thresh 1","0","%"
"LED Support","LED Config","CHG Thresh 2","20","%"
"LED Support","LED Config","CHG Thresh 3","40","%"
"LED Support","LED Config","CHG Thresh 4","60","%"
"LED Support","LED Config","CHG Thresh 5","80","%"
"LED Support","LED Config","DSG Flash Alarm","10","%"
"LED Support","LED Config","DSG Thresh 1","0","%"
"LED Support","LED Config","DSG Thresh 2","20","%"
"LED Support","LED Config","DSG Thresh 3","40","%"
"LED Support","LED Config","DSG Thresh 4","60","%"
"LED Support","LED Config","DSG Thresh 5","80","%"
"System Data","Manufacturer Data","Manufacturer Info A Length","32","-"
"System Data","Manufacturer Data","Manufacturer Info Block A01","61","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A02","62","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A03","63","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A04","64","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A05","65","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A06","66","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A07","67","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A08","68","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A09","69","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A10","6a","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A11","6b","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A12","6c","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A13","6d","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A14","6e","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A15","6f","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A16","70","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A17","71","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A18","72","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A19","73","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A20","74","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A21","75","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A22","76","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A23","77","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A24","7a","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A25","78","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A26","79","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A27","30","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A28","31","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A29","32","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A30","33","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A31","34","Hex"
"System Data","Manufacturer Data","Manufacturer Info Block A32","35","Hex"
"System Data","Manufacturer Info B","Manufacturer Info Block B01","01","Hex"
"System Data","Manufacturer Info B","Manufacturer Info Block B02","23","Hex"
"System Data","Manufacturer Info B","Manufacturer Info Block B03","45","Hex"
"System Data","Manufacturer Info B","Manufacturer Info Block B04","67","Hex"
"System Data","Integrity","Static DF Signature","0000","hex"
"System Data","Integrity","Static Chem DF Signature","5155","hex"
"System Data","Integrity","All DF Signature","0000","hex"
"SBS Configuration","Data","Remaining AH Cap. Alarm","300","mAh"
"SBS Configuration","Data","Remaining WH Cap. Alarm","432","cWh"
"SBS Configuration","Data","Remaining Time Alarm","10","min"
"SBS Configuration","Data","Initial Battery Mode","0081","hex"
"SBS Configuration","Data","Specification Information","0031","hex"
"SBS Configuration","Data","Manufacture Date","1980-1-1","date"
"SBS Configuration","Data","Serial Number","0001","hex"
"SBS Configuration","Data","Manufacturer Name","Texas Instruments","-"
"SBS Configuration","Data","Device Name","bq40z50-R2","-"
"SBS Configuration","Data","Device Chemistry","LION","-"
"Lifetimes","Voltage","Cell 1 Max Voltage","4163","mV"
"Lifetimes","Voltage","Cell 2 Max Voltage","4165","mV"
"Lifetimes","Voltage","Cell 3 Max Voltage","4164","mV"
"Lifetimes","Voltage","Cell 4 Max Voltage","4186","mV"
"Lifetimes","Voltage","Cell 1 Min Voltage","2095","mV"
"Lifetimes","Voltage","Cell 2 Min Voltage","2345","mV"
"Lifetimes","Voltage","Cell 3 Min Voltage","2188","mV"
"Lifetimes","Voltage","Cell 4 Min Voltage","2420","mV"
"Lifetimes","Voltage","Max Delta Cell Voltage","330","mV"
"Lifetimes","Current","Max Charge Current","5221","mA"
"Lifetimes","Current","Max Discharge Current","-3781","mA"
"Lifetimes","Current","Max Avg Dsg Current","-3778","mA"
"Lifetimes","Current","Max Avg Dsg Power","-6094","cW"
"Lifetimes","Temperature","Max Temp Cell","43","°C"
"Lifetimes","Temperature","Min Temp Cell","24","°C"
"Lifetimes","Temperature","Max Delta Cell Temp","0","°C"
"Lifetimes","Temperature","Max Temp Int Sensor","48","°C"
"Lifetimes","Temperature","Min Temp Int Sensor","28","°C"
"Lifetimes","Temperature","Max Temp Fet","48","°C"
"Lifetimes","Safety Events","No Of COV Events","0","events"
"Lifetimes","Safety Events","Last COV Event","0","cycles"
"Lifetimes","Safety Events","No Of CUV Events","1","events"
"Lifetimes","Safety Events","Last CUV Event","3","cycles"
"Lifetimes","Safety Events","No Of OCD1 Events","0","events"
"Lifetimes","Safety Events","Last OCD1 Event","0","cycles"
"Lifetimes","Safety Events","No Of OCD2 Events","0","events"
"Lifetimes","Safety Events","Last OCD2 Event","0","cycles"
"Lifetimes","Safety Events","No Of OCC1 Events","0","events"
"Lifetimes","Safety Events","Last OCC1 Event","0","cycles"
"Lifetimes","Safety Events","No Of OCC2 Events","0","events"
"Lifetimes","Safety Events","Last OCC2 Event","0","cycles"
"Lifetimes","Safety Events","No Of AOLD Events","0","events"
"Lifetimes","Safety Events","Last AOLD Event","0","cycles"
"Lifetimes","Safety Events","No Of ASCD Events","0","events"
"Lifetimes","Safety Events","Last ASCD Event","0","cycles"
"Lifetimes","Safety Events","No Of ASCC Events","0","events"
"Lifetimes","Safety Events","Last ASCC Event","0","cycles"
"Lifetimes","Safety Events","No Of OTC Events","0","events"
"Lifetimes","Safety Events","Last OTC Event","0","cycles"
"Lifetimes","Safety Events","No Of OTD Events","0","events"
"Lifetimes","Safety Events","Last OTD Event","0","cycles"
"Lifetimes","Safety Events","No Of OTF Events","0","events"
"Lifetimes","Safety Events","Last OTF Event","0","cycles"
"Lifetimes","Charging Events","No Valid Charge Term","3","events"
"Lifetimes","Charging Events","Last Valid Charge Term","3","cycles"
"Lifetimes","Gauging Events","No Of Qmax Updates","4","events"
"Lifetimes","Gauging Events","Last Qmax Update","3","cycles"
"Lifetimes","Gauging Events","No Of Ra Updates","46","events"
"Lifetimes","Gauging Events","Last Ra Update","3","cycles"
"Lifetimes","Gauging Events","No Of Ra Disable","3","events"
"Lifetimes","Gauging Events","Last Ra Disable","3","cycles"
"Lifetimes","Power Events","No Of Shutdowns","2","events"
"Lifetimes","Cell Balancing","Cb Time Cell 1","22","h"
"Lifetimes","Cell Balancing","Cb Time Cell 2","22","h"
"Lifetimes","Cell Balancing","Cb Time Cell 3","24","h"
"Lifetimes","Cell Balancing","Cb Time Cell 4","24","h"
"Lifetimes","Time","Total Fw Runtime","450","h"
"Lifetimes","Time","Time Spent In UT","0","h"
"Lifetimes","Time","Time Spent In LT","0","h"
"Lifetimes","Time","Time Spent In STL","0","h"
"Lifetimes","Time","Time Spent In RT","6","h"
"Lifetimes","Time","Time Spent In STH","380","h"
"Lifetimes","Time","Time Spent In HT","62","h"
"Lifetimes","Time","Time Spent In OT","0","h"
"Protections","CUV","Threshold","1800","mV"
"Protections","CUV","Delay","2","s"
"Protections","CUV","Recovery","1900","mV"
"Protections","CUVC","Threshold","1700","mV"
"Protections","CUVC","Delay","2","s"
"Protections","CUVC","Recovery","1800","mV"
"Protections","COV","Threshold Low Temp","4300","mV"
"Protections","COV","Threshold Standard Temp Low","4300","mV"
"Protections","COV","Threshold Standard Temp High","4300","mV"
"Protections","COV","Threshold High Temp","4300","mV"
"Protections","COV","Threshold Rec Temp","4300","mV"
"Protections","COV","Delay","2","s"
"Protections","COV","Recovery Low Temp","3900","mV"
"Protections","COV","Recovery Standard Temp Low","3900","mV"
"Protections","COV","Recovery Standard Temp High","3900","mV"
"Protections","COV","Recovery High Temp","3900","mV"
"Protections","COV","Recovery Rec Temp","3900","mV"
"Protections","COV","Latch Limit","0","-"
"Protections","COV","Counter Dec Delay","10","s"
"Protections","COV","Reset","15","s"
"Protections","OCC1","Threshold","10000","mA"
"Protections","OCC1","Delay","6","s"
"Protections","OCC2","Threshold","12000","mA"
"Protections","OCC2","Delay","3","s"
"Protections","OCC","Recovery Threshold","-200","mA"
"Protections","OCC","Recovery Delay","5","s"
"Protections","OCD1","Threshold","-20000","mA"
"Protections","OCD1","Delay","6","s"
"Protections","OCD2","Threshold","-30000","mA"
"Protections","OCD2","Delay","3","s"
"Protections","OCD","Recovery Threshold","200","mA"
"Protections","OCD","Recovery Delay","5","s"
"Protections","OCD","Latch Limit","0","-"
"Protections","OCD","Counter Dec Delay","10","s"
"Protections","OCD","Reset","15","s"
"Protections","AOLD","Latch Limit","0","-"
"Protections","AOLD","Counter Dec Delay","10","s"
"Protections","AOLD","Recovery","5","s"
"Protections","AOLD","Reset","15","s"
"Protections","AOLD","Threshold","f4","hex"
"Protections","ASCC","Latch Limit","0","-"
"Protections","ASCC","Counter Dec Delay","10","s"
"Protections","ASCC","Recovery","5","s"
"Protections","ASCC","Reset","15","s"
"Protections","ASCC","Threshold","77","hex"
"Protections","ASCD","Latch Limit","0","-"
"Protections","ASCD","Counter Dec Delay","10","s"
"Protections","ASCD","Recovery","5","s"
"Protections","ASCD","Reset","15","s"
"Protections","ASCD","Threshold 1","77","hex"
"Protections","ASCD","Threshold 2","e7","hex"
"Protections","OTC","Threshold","55.0","°C"
"Protections","OTC","Delay","2","s"
"Protections","OTC","Recovery","50.0","°C"
"Protections","OTD","Threshold","60.0","°C"
"Protections","OTD","Delay","2","s"
"Protections","OTD","Recovery","55.0","°C"
"Protections","OTF","Threshold","80.0","°C"
"Protections","OTF","Delay","2","s"
"Protections","OTF","Recovery","65.0","°C"
"Protections","UTC","Threshold","0.0","°C"
"Protections","UTC","Delay","2","s"
"Protections","UTC","Recovery","5.0","°C"
"Protections","UTD","Threshold","0.0","°C"
"Protections","UTD","Delay","2","s"
"Protections","UTD","Recovery","5.0","°C"
"Protections","HWD","Delay","10","s"
"Protections","PTO","Charge Threshold","2000","mA"
"Protections","PTO","Suspend Threshold","1800","mA"
"Protections","PTO","Delay","1800","s"
"Protections","PTO","Reset","2","mAh"
"Protections","CTO","Charge Threshold","2500","mA"
"Protections","CTO","Suspend Threshold","2000","mA"
"Protections","CTO","Delay","54000","s"
"Protections","CTO","Reset","2","mAh"
"Protections","OC","Threshold","2000","mAh"
"Protections","OC","Recovery","2","mAh"
"Protections","OC","RSOC Recovery","90","%"
"Protections","CHGV","Threshold","500","mV"
"Protections","CHGV","Delay","30","s"
"Protections","CHGV","Recovery","-500","mV"
"Protections","CHGC","Threshold","-100","mA"
"Protections","CHGC","Delay","2","s"
"Protections","CHGC","Recovery Threshold","100","mA"
"Protections","CHGC","Recovery Delay","2","s"
"Protections","PCHGC","Threshold","50","mA"
"Protections","PCHGC","Delay","2","s"
"Protections","PCHGC","Recovery Threshold","10","mA"
"Protections","PCHGC","Recovery Delay","2","s"
"Permanent Fail","SUV","Threshold","1800","mV"
"Permanent Fail","SUV","Delay","5","s"
"Permanent Fail","SOV","Threshold","4500","mV"
"Permanent Fail","SOV","Delay","5","s"
"Permanent Fail","SOCC","Threshold","10000","mA"
"Permanent Fail","SOCC","Delay","5","s"
"Permanent Fail","SOCD","Threshold","-10000","mA"
"Permanent Fail","SOCD","Delay","5","s"
"Permanent Fail","SOT","Threshold","65.0","°C"
"Permanent Fail","SOT","Delay","5","s"
"Permanent Fail","SOTF","Threshold","100.0","°C"
"Permanent Fail","SOTF","Delay","5","s"
"Permanent Fail","Open Thermistor","Threshold","-50.0","°C"
"Permanent Fail","Open Thermistor","Delay","5","s"
"Permanent Fail","Open Thermistor","Fet Delta","20.0","°C"
"Permanent Fail","Open Thermistor","Cell Delta","20.0","°C"
"Permanent Fail","QIM","Delta Threshold","15.0","%"
"Permanent Fail","QIM","Delay","2","updates"
"Permanent Fail","CB","Max Threshold","240","h"
"Permanent Fail","CB","Delta Threshold","40","h"
"Permanent Fail","CB","Delay","2","cycles"
"Permanent Fail","VIMR","Check Voltage","3500","mV"
"Permanent Fail","VIMR","Check Current","10","mA"
"Permanent Fail","VIMR","Delta Threshold","500","mV"
"Permanent Fail","VIMR","Delta Delay","5","s"
"Permanent Fail","VIMR","Duration","100","s"
"Permanent Fail","VIMA","Check Voltage","3700","mV"
"Permanent Fail","VIMA","Check Current","50","mA"
"Permanent Fail","VIMA","Delta Threshold","200","mV"
"Permanent Fail","VIMA","Delay","5","s"
"Permanent Fail","IMP","Delta Threshold","300","%"
"Permanent Fail","IMP","Max Threshold","400","%"
"Permanent Fail","IMP","Ra Update Counts","2","Counts"
"Permanent Fail","CD","Threshold","0","mAh"
"Permanent Fail","CD","Delay","2","cycles"
"Permanent Fail","CFET","OFF Threshold","5","mA"
"Permanent Fail","CFET","OFF Delay","5","s"
"Permanent Fail","DFET","OFF Threshold","-5","mA"
"Permanent Fail","DFET","OFF Delay","5","s"
"Permanent Fail","FUSE","Threshold","5","mA"
"Permanent Fail","FUSE","Delay","5","s"
"Permanent Fail","AFER","Threshold","100","-"
"Permanent Fail","AFER","Delay Period","2","s"
"Permanent Fail","AFER","Compare Period","5","s"
"Permanent Fail","AFEC","Threshold","100","-"
"Permanent Fail","AFEC","Delay Period","5","s"
"Permanent Fail","2LVL","Delay","5","s"
"PF Status","Device Status Data","Safety Alert A","00","hex"
"PF Status","Device Status Data","Safety Status A","00","hex"
"PF Status","Device Status Data","Safety Alert B","00","hex"
"PF Status","Device Status Data","Safety Status B","00","hex"
"PF Status","Device Status Data","Safety Alert C","00","hex"
"PF Status","Device Status Data","Safety Status C","00","hex"
"PF Status","Device Status Data","Safety Alert D","00","hex"
"PF Status","Device Status Data","Safety Status D","00","hex"
"PF Status","Device Status Data","PF Alert A","00","hex"
"PF Status","Device Status Data","PF Status A","00","hex"
"PF Status","Device Status Data","PF Alert B","00","hex"
"PF Status","Device Status Data","PF Status B","00","hex"
"PF Status","Device Status Data","PF Alert C","00","hex"
"PF Status","Device Status Data","PF Status C","00","hex"
"PF Status","Device Status Data","PF Alert D","00","hex"
"PF Status","Device Status Data","PF Status D","00","hex"
"PF Status","Device Status Data","Fuse Flag","0000","hex"
"PF Status","Device Status Data","Operation Status A","0000","hex"
"PF Status","Device Status Data","Operation Status B","0000","hex"
"PF Status","Device Status Data","Temp Range","00","hex"
"PF Status","Device Status Data","Charging Status A","00","hex"
"PF Status","Device Status Data","Charging Status B","00","hex"
"PF Status","Device Status Data","Gauging Status","00","hex"
"PF Status","Device Status Data","IT Status","0000","hex"
"PF Status","Device Voltage Data","Cell 1 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 2 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 3 Voltage","0","mV"
"PF Status","Device Voltage Data","Cell 4 Voltage","0","mV"
"PF Status","Device Voltage Data","Battery Direct Voltage","0","mV"
"PF Status","Device Voltage Data","Pack Voltage","0","mV"
"PF Status","Device Current Data","Current","0","mA"
