* Texas Instruments Data Flash File
* File created Wed Dec 04 18:20:13 2024
*
* Device Number 4500
* Firmware Version 2.08
* Build Number 50
* Order Number 0
*
* bqz Device Number 4500
* bqz Firmware Version 2.08
* bqz Build Number 50
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Power","Sleep","Wake Comparator","00","hex"
"Power","Ship","FET Off Time","10","s"
"Power","Ship","Delay","20","s"
"Power","Ship","Auto Ship Time","1440","min"
"Gas Gauging","Current Thresholds","Dsg Current Threshold","100","mA"
"Gas Gauging","Current Thresholds","Chg Current Threshold","50","mA"
"Gas Gauging","Current Thresholds","Quit Current","10","mA"
"Gas Gauging","Current Thresholds","Dsg Relax Time","1","s"
"Gas Gauging","Current Thresholds","Chg Relax Time","60","s"
"Gas Gauging","Design","Design Capacity mAh","21000","mAh"
"Gas Gauging","Design","Design Capacity cWh","30240","cWh"
"Gas Gauging","Design","Design Voltage","14400","mV"
"Gas Gauging","FD","Set Voltage Threshold","2500","mV"
"Gas Gauging","FD","Clear Voltage Threshold","2600","mV"
"Gas Gauging","FD","Set % RSOC Threshold","4","%"
"Gas Gauging","FD","Clear % RSOC Threshold","6","%"
"Gas Gauging","FC","Set Voltage Threshold","4200","mV"
"Gas Gauging","FC","Clear Voltage Threshold","4100","mV"
"Gas Gauging","FC","Set % RSOC Threshold","100","%"
"Gas Gauging","FC","Clear % RSOC Threshold","95","%"
"Gas Gauging","TD","Set Voltage Threshold","2300","mV"
"Gas Gauging","TD","Clear Voltage Threshold","2400","mV"
"Gas Gauging","TD","Set % RSOC Threshold","0","%"
"Gas Gauging","TD","Clear % RSOC Threshold","2","%"
"Gas Gauging","TC","Set Voltage Threshold","4200","mV"
"Gas Gauging","TC","Clear Voltage Threshold","4100","mV"
"Gas Gauging","TC","Set % RSOC Threshold","100","%"
"Gas Gauging","TC","Clear % RSOC Threshold","95","%"
"Gas Gauging","IT Cfg","Term Voltage","9200","mV"
"Gas Gauging","IT Cfg","Term Min Cell V","2300","mV"
"Gas Gauging","State","Cycle Count","1","-"
"Gas Gauging","State","Qmax Cell 1","21000","mAh"
"Gas Gauging","State","Qmax Cell 2","21000","mAh"
"Gas Gauging","State","Qmax Cell 3","21000","mAh"
"Gas Gauging","State","Qmax Cell 4","21000","mAh"
"Gas Gauging","State","Qmax Pack","21000","mAh"
"Gas Gauging","State","Qmax Cycle Count","1","-"
"Gas Gauging","State","Update Status","0e","-"
"Protections","CUV","Threshold","2200","mV"
"Protections","CUV","Delay","2","s"
"Protections","CUV","Recovery","2300","mV"
"Protections","CUVC","Threshold","2100","mV"
"Protections","CUVC","Delay","2","s"
"Protections","CUVC","Recovery","2200","mV"
"Protections","OTC","Threshold","55.0","°C"
"Protections","OTC","Delay","2","s"
"Protections","OTC","Recovery","50.0","°C"
"Protections","OTD","Threshold","60.0","°C"
"Protections","OTD","Delay","2","s"
"Protections","OTD","Recovery","55.0","°C"
"Protections","OTF","Threshold","80.0","°C"
"Protections","OTF","Delay","2","s"
"Protections","OTF","Recovery","65.0","°C"
"Protections","UTC","Threshold","-2","°C"
"Protections","UTC","Delay","2","s"
"Protections","UTC","Recovery","0","°C"
"Protections","UTD","Threshold","-22","°C"
"Protections","UTD","Delay","2","s"
"Protections","UTD","Recovery","-20","°C"
"Protections","COV","Threshold Low Temp","4300","mV"
"Protections","COV","Threshold Standard Temp Low","4300","mV"
"Protections","COV","Threshold Standard Temp High","4300","mV"
"Protections","COV","Threshold High Temp","4300","mV"
"Protections","COV","Threshold Rec Temp","4300","mV"
"Protections","COV","Delay","2","s"
"Protections","COV","Recovery Low Temp","3900","mV"
"Protections","COV","Recovery Standard Temp Low","3900","mV"
"Protections","COV","Recovery Standard Temp High","3900","mV"
"Protections","COV","Recovery High Temp","3900","mV"
"Protections","COV","Recovery Rec Temp","3900","mV"
"Protections","COV","Latch Limit","0","-"
"Protections","COV","Counter Dec Delay","10","s"
"Protections","COV","Reset","15","s"
"Protections","OCC1","Threshold","10000","mA"
"Protections","OCC1","Delay","6","s"
"Protections","OCC2","Threshold","12000","mA"
"Protections","OCC2","Delay","3","s"
"Protections","OCC","Recovery Threshold","-5","mA"
"Protections","OCC","Recovery Delay","60","s"
"Protections","OCD1","Threshold","-22000","mA"
"Protections","OCD1","Delay","6","s"
"Protections","OCD2","Threshold","-25000","mA"
"Protections","OCD2","Delay","3","s"
"Protections","OCD","Recovery Threshold","-5","mA"
"Protections","OCD","Recovery Delay","60","s"
"Protections","OCD","Latch Limit","0","-"
"Protections","OCD","Counter Dec Delay","10","s"
"Protections","OCD","Reset","15","s"
